CA,C2,0.46
CA,C3,0.493
CA,C4,0.528
CA,C5,0.497
CA,C6,0.493
CA,C7,0.513
CA,C8,0.532
CA,C9,0.521
CA,CT,0.556
CA,CJ,0.569
CA,CQ,0.574
CA,CK,0.592
CA,DA,0.769
CA,D2,0.429
CA,D3,0.452
CA,D4,0.467
CA,D5,0.459
CA,D6,0.496
CA,D7,0.483
CA,D8,0.488
CA,D9,0.491
CA,DT,0.535
CA,DJ,0.547
CA,DQ,0.533
CA,DK,0.549
CA,HA,0.758
CA,H2,0.437
CA,H3,0.437
CA,H4,0.46
CA,H5,0.486
CA,H6,0.486
CA,H7,0.489
CA,H8,0.51
CA,H9,0.512
CA,HT,0.495
CA,HJ,0.511
CA,HQ,0.53
CA,HK,0.539
CA,SA,0.782
CA,S2,0.436
CA,S3,0.443
CA,S4,0.468
CA,S5,0.475
CA,S6,0.454
CA,S7,0.475
CA,S8,0.515
CA,S9,0.496
CA,ST,0.533
CA,SJ,0.516
CA,SQ,0.575
CA,SK,0.553
C2,C3,0.378
C2,C4,0.367
C2,C5,0.4
C2,C6,0.393
C2,C7,0.387
C2,C8,0.405
C2,C9,0.42
C2,CT,0.398
C2,CJ,0.442
C2,CQ,0.463
C2,CK,0.462
C2,DA,0.449
C2,D2,0.432
C2,D3,0.324
C2,D4,0.351
C2,D5,0.351
C2,D6,0.37
C2,D7,0.357
C2,D8,0.377
C2,D9,0.372
C2,DT,0.377
C2,DJ,0.413
C2,DQ,0.433
C2,DK,0.425
C2,HA,0.432
C2,H2,0.425
C2,H3,0.303
C2,H4,0.352
C2,H5,0.342
C2,H6,0.374
C2,H7,0.361
C2,H8,0.346
C2,H9,0.388
C2,HT,0.368
C2,HJ,0.397
C2,HQ,0.413
C2,HK,0.414
C2,SA,0.441
C2,S2,0.419
C2,S3,0.349
C2,S4,0.322
C2,S5,0.327
C2,S6,0.353
C2,S7,0.379
C2,S8,0.361
C2,S9,0.394
C2,ST,0.391
C2,SJ,0.378
C2,SQ,0.434
C2,SK,0.401
C3,C4,0.392
C3,C5,0.395
C3,C6,0.428
C3,C7,0.401
C3,C8,0.421
C3,C9,0.42
C3,CT,0.419
C3,CJ,0.443
C3,CQ,0.443
C3,CK,0.483
C3,DA,0.453
C3,D2,0.339
C3,D3,0.438
C3,D4,0.341
C3,D5,0.365
C3,D6,0.396
C3,D7,0.4
C3,D8,0.365
C3,D9,0.354
C3,DT,0.396
C3,DJ,0.408
C3,DQ,0.404
C3,DK,0.423
C3,HA,0.449
C3,H2,0.308
C3,H3,0.486
C3,H4,0.363
C3,H5,0.372
C3,H6,0.377
C3,H7,0.395
C3,H8,0.378
C3,H9,0.376
C3,HT,0.427
C3,HJ,0.397
C3,HQ,0.422
C3,HK,0.426
C3,SA,0.441
C3,S2,0.339
C3,S3,0.455
C3,S4,0.375
C3,S5,0.358
C3,S6,0.346
C3,S7,0.379
C3,S8,0.378
C3,S9,0.39
C3,ST,0.385
C3,SJ,0.411
C3,SQ,0.427
C3,SK,0.424
C4,C5,0.429
C4,C6,0.448
C4,C7,0.424
C4,C8,0.405
C4,C9,0.432
C4,CT,0.449
C4,CJ,0.419
C4,CQ,0.481
C4,CK,0.479
C4,DA,0.463
C4,D2,0.352
C4,D3,0.337
C4,D4,0.485
C4,D5,0.385
C4,D6,0.375
C4,D7,0.385
C4,D8,0.387
C4,D9,0.41
C4,DT,0.435
C4,DJ,0.401
C4,DQ,0.449
C4,DK,0.452
C4,HA,0.448
C4,H2,0.34
C4,H3,0.374
C4,H4,0.46
C4,H5,0.371
C4,H6,0.4
C4,H7,0.404
C4,H8,0.389
C4,H9,0.4
C4,HT,0.398
C4,HJ,0.408
C4,HQ,0.44
C4,HK,0.466
C4,SA,0.453
C4,S2,0.339
C4,S3,0.367
C4,S4,0.492
C4,S5,0.377
C4,S6,0.391
C4,S7,0.373
C4,S8,0.393
C4,S9,0.411
C4,ST,0.412
C4,SJ,0.419
C4,SQ,0.426
C4,SK,0.434
C5,C6,0.436
C5,C7,0.462
C5,C8,0.448
C5,C9,0.445
C5,CT,0.452
C5,CJ,0.446
C5,CQ,0.478
C5,CK,0.457
C5,DA,0.475
C5,D2,0.33
C5,D3,0.375
C5,D4,0.385
C5,D5,0.488
C5,D6,0.41
C5,D7,0.433
C5,D8,0.416
C5,D9,0.406
