CA,C2,0.386
CA,C3,0.385
CA,C4,0.404
CA,C5,0.419
CA,C6,0.418
CA,C7,0.446
CA,C8,0.435
CA,C9,0.461
CA,CT,0.454
CA,CJ,0.477
CA,CQ,0.493
CA,CK,0.505
CA,DA,0.704
CA,D2,0.35
CA,D3,0.332
CA,D4,0.372
CA,D5,0.356
CA,D6,0.384
CA,D7,0.401
CA,D8,0.393
CA,D9,0.432
CA,DT,0.439
CA,DJ,0.414
CA,DQ,0.464
CA,DK,0.47
CA,HA,0.72
CA,H2,0.339
CA,H3,0.353
CA,H4,0.35
CA,H5,0.388
CA,H6,0.365
CA,H7,0.388
CA,H8,0.383
CA,H9,0.404
CA,HT,0.426
CA,HJ,0.444
CA,HQ,0.461
CA,HK,0.463
CA,SA,0.721
CA,S2,0.343
CA,S3,0.361
CA,S4,0.361
CA,S5,0.373
CA,S6,0.38
CA,S7,0.412
CA,S8,0.388
CA,S9,0.42
CA,ST,0.438
CA,SJ,0.427
CA,SQ,0.427
CA,SK,0.461
C2,C3,0.269
C2,C4,0.317
C2,C5,0.288
C2,C6,0.306
C2,C7,0.328
C2,C8,0.327
C2,C9,0.316
C2,CT,0.349
C2,CJ,0.364
C2,CQ,0.34
C2,CK,0.355
C2,DA,0.329
C2,D2,0.354
C2,D3,0.262
C2,D4,0.237
C2,D5,0.261
C2,D6,0.27
C2,D7,0.254
C2,D8,0.282
C2,D9,0.273
C2,DT,0.277
C2,DJ,0.299
C2,DQ,0.324
C2,DK,0.328
C2,HA,0.346
C2,H2,0.36
C2,H3,0.226
C2,H4,0.236
C2,H5,0.259
C2,H6,0.26
C2,H7,0.267
C2,H8,0.258
C2,H9,0.319
C2,HT,0.299
C2,HJ,0.285
C2,HQ,0.308
C2,HK,0.349
C2,SA,0.352
C2,S2,0.378
C2,S3,0.227
C2,S4,0.236
C2,S5,0.259
C2,S6,0.261
C2,S7,0.273
C2,S8,0.266
C2,S9,0.281
C2,ST,0.299
C2,SJ,0.317
C2,SQ,0.287
C2,SK,0.315
C3,C4,0.315
C3,C5,0.32
C3,C6,0.31
C3,C7,0.327
C3,C8,0.308
C3,C9,0.309
C3,CT,0.35
C3,CJ,0.367
C3,CQ,0.364
C3,CK,0.387
C3,DA,0.361
C3,D2,0.242
