hole1,hole2,max,min,mean,25%,50%,75%,var,stat
CA,C2,187,14,49.259999999999998,14.0,16.0,72.0,2608.4323999999997,51.072814686484627
CA,C3,185,14,55.399999999999999,17.0,31.0,74.75,2636.3799999999992,51.345691153201933
CA,C4,186,14,57.649999999999999,14.0,32.0,75.25,2625.1474999999996,51.236193262185274
CA,C5,192,14,60.979999999999997,33.0,42.0,75.25,2070.6596,45.504500876286954
CA,C6,188,14,54.609999999999999,14.0,34.0,76.0,2230.1178999999997,47.224124131634241
CA,C7,189,14,64.430000000000007,21.0,42.0,84.25,2678.3850999999995,51.753116814352346
CA,C8,195,14,60.329999999999998,22.0,42.0,78.0,2240.6611000000003,47.335621893031046
CA,C9,184,14,51.549999999999997,14.0,37.0,75.0,1856.3675000000005,43.085583435761905
CA,CT,189,14,53.649999999999999,14.0,38.0,76.25,2036.5474999999997,45.128123160619026
CA,CJ,193,14,62.799999999999997,22.25,42.0,81.0,2631.0,51.293274412928639
CA,CQ,191,14,62.840000000000003,26.0,42.0,82.0,2635.3544000000002,51.335702975609479
CA,CK,195,14,64.670000000000002,27.0,42.0,81.5,2349.0011,48.466494612257648
CA,DA,210,14,81.590000000000003,42.0,77.0,98.0,2650.5218999999988,51.483219596291747
CA,D2,186,14,41.450000000000003,14.0,30.0,65.25,915.66750000000002,30.259998347653625
CA,D3,195,14,53.810000000000002,17.0,42.0,73.0,2404.2138999999997,49.032783930753922
CA,D4,186,14,46.189999999999998,14.0,32.0,72.0,1364.0539000000001,36.933100330191614
CA,D5,187,14,43.289999999999999,14.0,33.0,70.25,1264.5859000000003,35.561016577145267
CA,D6,188,14,46.369999999999997,20.0,34.0,75.0,1362.7730999999999,36.915756798418748
CA,D7,189,14,43.200000000000003,14.0,35.0,68.0,1073.0400000000002,32.757289265139143
CA,D8,190,14,47.189999999999998,14.0,36.0,74.0,1638.1138999999996,40.473619803521402
CA,D9,233,14,51.460000000000001,23.0,42.0,75.25,1769.5483999999997,42.066000522987679
CA,DT,194,14,57.469999999999999,24.0,42.0,80.0,1750.2891000000004,41.836456589916892
CA,DJ,193,14,50.119999999999997,14.0,39.0,74.25,1561.3656000000001,39.514118995619782
CA,DQ,195,14,47.850000000000001,14.0,40.0,77.0,1606.4274999999998,40.080263222688544
CA,DK,195,14,52.859999999999999,14.0,41.0,80.0,2095.2404000000001,45.773795997273375
CA,HA,210,14,86.549999999999997,42.0,79.0,98.0,2878.1475000000005,53.648369033923117
CA,H2,194,14,43.890000000000001,14.0,30.0,63.0,1611.8979000000002,40.148448288819331
CA,H3,187,14,42.68,14.0,31.0,68.0,1336.0975999999998,36.552668849209901
CA,H4,192,14,48.609999999999999,14.0,32.0,74.0,2079.9578999999994,45.606555449847335
CA,H5,187,14,45.329999999999998,14.0,33.0,73.0,1181.4811000000002,34.372679558044354
CA,H6,188,14,48.210000000000001,20.0,34.0,73.0,1884.8659,43.415042324060906
CA,H7,189,14,51.329999999999998,14.0,35.0,77.0,1926.5211000000002,43.89215305723792
CA,H8,195,14,44.939999999999998,14.0,36.0,75.25,1361.8763999999999,36.903609579551969
CA,H9,191,14,45.890000000000001,23.0,37.0,70.0,1290.4979000000001,35.923500664606728
CA,HT,192,14,40.700000000000003,14.0,31.0,48.5,1016.8099999999998,31.887458349639594
CA,HJ,193,14,46.020000000000003,14.0,39.0,71.0,1555.2795999999996,39.437033356985658
CA,HQ,194,14,49.869999999999997,14.0,40.0,73.25,1860.3530999999996,43.131810766532858
CA,HK,122,14,42.799999999999997,27.0,41.0,71.25,688.34000000000003,26.236234485916611
CA,SA,210,14,82.0,42.0,78.0,98.0,2528.7399999999998,50.286578726336117
CA,S2,184,14,42.560000000000002,14.0,30.0,69.25,1299.2663999999997,36.045338117432046
CA,S3,195,14,48.159999999999997,17.0,31.0,66.5,1874.0743999999997,43.290580961682643
CA,S4,186,14,44.609999999999999,18.0,32.0,73.25,1211.2778999999998,34.80341793559937
CA,S5,193,14,45.93,19.0,42.0,72.0,1137.9651000000001,33.73373830455202
CA,S6,192,14,42.789999999999999,20.0,34.0,73.25,1109.8259,33.314049588724572
CA,S7,189,14,47.399999999999999,14.0,35.0,72.25,1746.3799999999997,41.789711652510832
CA,S8,190,14,46.149999999999999,22.0,36.0,73.25,1178.6475,34.331436031718802
CA,S9,191,14,43.310000000000002,14.0,23.0,75.0,1278.6539000000002,35.75827037204121
CA,ST,192,14,55.340000000000003,24.0,38.0,79.0,2028.2444000000003,45.036034461306649
CA,SJ,193,14,49.609999999999999,14.0,39.0,75.0,1758.4978999999994,41.934447653450732
CA,SQ,194,14,42.259999999999998,14.0,40.0,49.25,1111.1523999999999,33.33395266091317
CA,SK,195,14,52.979999999999997,27.0,41.0,81.25,1530.6596000000002,39.123645024460593
C2,C3,173,3,47.060000000000002,5.0,31.0,68.25,2189.7164000000002,46.794405648538806
C2,C4,184,4,46.539999999999999,6.0,32.0,67.25,2341.2684000000004,48.386655185081771
C2,C5,180,5,47.149999999999999,7.0,33.0,67.25,1945.9075,44.112441555642782
C2,C6,185,6,51.049999999999997,8.0,30.0,69.0,2806.1274999999996,52.972894011937839
C2,C7,173,7,47.210000000000001,9.0,30.0,68.0,2170.4058999999993,46.587615307074898
C2,C8,183,8,47.880000000000003,10.0,30.0,70.25,2247.1256000000003,47.403856383210012
C2,C9,179,9,47.340000000000003,11.0,37.0,68.5,1612.4243999999997,40.155004669405777
C2,CT,182,10,56.969999999999999,12.0,38.0,77.0,2662.8691000000003,51.602995068115959
C2,CJ,181,11,56.530000000000001,13.0,39.0,75.0,2163.7891,46.516546518416433
C2,CQ,188,12,58.549999999999997,14.0,40.0,75.5,2511.4275000000007,50.114144709852134
C2,CK,193,13,55.859999999999999,15.0,41.0,74.5,2445.2604000000001,49.449574315660193
C2,DA,187,14,47.299999999999997,16.0,30.0,72.0,1914.95,43.760141681671918
C2,D2,198,2,67.609999999999999,30.0,65.5,86.0,2199.2978999999996,46.896672589854383
C2,D3,175,3,33.640000000000001,5.0,30.0,61.0,1364.6704000000004,36.941445559154836
C2,D4,181,4,43.789999999999999,5.5,32.0,62.0,2007.7659000000003,44.808100830095448
C2,D5,184,5,35.859999999999999,5.0,30.0,67.25,1543.4204,39.286389500690952
C2,D6,188,6,41.200000000000003,8.0,30.0,64.0,1748.1600000000003,41.811003336442432
C2,D7,177,7,39.549999999999997,7.0,35.0,65.0,1310.9275,36.206732799301292
C2,D8,186,8,40.729999999999997,10.0,30.0,66.0,1418.9771000000003,37.669312443950979
C2,D9,184,9,42.479999999999997,11.0,33.5,67.0,1453.7096000000001,38.127543849558421
C2,DT,186,10,43.049999999999997,10.0,30.0,69.0,1862.5274999999995,43.157009859349607
C2,DJ,182,11,42.549999999999997,11.0,30.0,67.5,1463.1674999999998,38.251372524394462
C2,DQ,173,12,33.310000000000002,12.0,14.0,40.0,854.73389999999984,29.235832466341709
C2,DK,183,13,44.140000000000001,14.5,30.0,67.5,1366.7804000000001,36.969993237759731
C2,HA,194,14,46.210000000000001,14.0,30.0,68.0,1835.1659,42.838836352076605
C2,H2,198,30,88.400000000000006,61.75,69.5,86.0,2931.7199999999998,54.145359911999847
C2,H3,183,3,33.140000000000001,3.0,30.0,61.0,1112.0003999999999,33.346669998667032
C2,H4,182,4,39.740000000000002,6.0,32.0,63.25,1323.9324000000001,36.385881877453514
C2,H5,179,5,40.969999999999999,5.0,30.0,65.0,1694.4090999999999,41.163200798771712
C2,H6,187,6,43.450000000000003,7.5,34.0,64.25,1949.5274999999999,44.153453998526544
C2,H7,187,7,35.909999999999997,7.0,30.0,65.0,1183.0219000000004,34.395085404749331
C2,H8,188,8,36.219999999999999,8.0,30.0,66.0,1327.8515999999997,36.43969813266844
C2,H9,179,9,40.93,9.0,30.0,67.0,1459.1650999999997,38.199019620927444
C2,HT,180,10,36.549999999999997,12.0,30.0,44.25,1263.1074999999996,35.540223690911112
C2,HJ,181,11,40.609999999999999,13.0,30.0,65.25,1336.3178999999998,36.555682184853282
C2,HQ,187,12,40.219999999999999,12.0,30.0,64.75,1195.7916,34.580219779521357
C2,HK,183,13,45.890000000000001,13.0,30.0,71.0,1429.4578999999999,37.808172396983167
C2,SA,192,14,45.310000000000002,16.0,30.0,64.5,1632.8139000000001,40.408092011378116
C2,S2,198,2,72.930000000000007,30.0,66.5,86.0,2533.1051000000002,50.329962249141417
C2,S3,177,3,37.57,3.0,30.0,62.0,1797.3450999999998,42.395107028995689
C2,S4,174,4,33.270000000000003,4.0,30.0,62.0,1034.4770999999998,32.163288078180067
C2,S5,186,5,41.5,5.0,30.0,64.25,1833.95,42.82464243867075
C2,S6,176,6,39.229999999999997,6.0,30.0,64.25,1365.7570999999998,36.956151044176664
C2,S7,180,7,33.880000000000003,7.0,30.0,65.0,1176.4456000000002,34.299352763572671
C2,S8,187,8,42.369999999999997,8.0,30.0,66.0,1576.0330999999999,39.699283368846849
C2,S9,180,9,40.109999999999999,9.0,30.0,67.0,1244.0978999999998,35.271771999716712
C2,ST,184,10,40.159999999999997,10.0,30.0,68.0,1438.6744000000001,37.92986158688165
C2,SJ,181,11,39.509999999999998,11.0,30.0,65.25,1079.9499000000001,32.862591194243954
