hole1,hole2,max,min,mean,25%,50%,75%,var,stat
C3,CJ,187,11,60.299999999999997,11.0,39.0,72.25,3516.4099999999999,59.299325459907216
C3,CQ,175,12,64.200000000000003,31.0,67.0,76.25,1877.9600000000005,43.335435846429426
C3,CK,175,13,67.400000000000006,17.5,41.0,125.0,3852.6400000000003,62.069638310529896
C3,DA,185,14,67.0,14.0,36.5,91.75,4200.1999999999998,64.808949999209219
C3,D2,87,3,32.5,5.0,30.5,55.75,834.85000000000002,28.893770954999972
C3,D3,87,31,61.399999999999999,39.0,70.0,72.5,446.04000000000008,21.11965908815765
C3,D4,115,4,21.300000000000001,4.0,5.5,25.75,1091.4100000000003,33.036494971470567
C3,D5,114,5,59.799999999999997,31.0,67.5,85.0,1043.96,32.310369852417352
C3,D6,184,6,62.899999999999999,6.75,48.5,74.0,4152.6900000000005,64.441368700548253
C3,D7,75,7,37.399999999999999,7.0,35.0,66.0,775.6400000000001,27.85031418135171
C3,D8,71,8,22.5,8.0,9.5,34.75,397.25,19.93113142799475
C3,D9,87,9,52.5,32.5,68.0,70.75,693.45000000000005,26.333438818354129
C3,DT,94,10,34.700000000000003,10.75,22.0,57.25,847.21000000000004,29.106872040808508
C3,DJ,120,11,47.799999999999997,11.0,22.5,77.5,1865.3599999999999,43.189813613860387
C3,DQ,87,12,48.399999999999999,19.0,54.5,73.0,783.03999999999996,27.982851891828322
C3,DK,41,13,25.600000000000001,13.75,23.5,38.5,143.04000000000002,11.959933110180843
C3,HA,189,14,66.299999999999997,17.0,29.5,91.0,4351.6100000000006,65.966734040726919
C3,H2,114,3,37.399999999999999,3.5,30.0,59.5,1397.8399999999999,37.38769851167627
C3,H3,114,31,54.399999999999999,31.0,48.5,68.75,713.24000000000001,26.706553502838961
C3,H4,72,4,23.399999999999999,4.0,5.5,32.0,692.63999999999999,26.318054639353569
C3,H5,180,5,55.0,31.5,48.5,64.0,2229.0,47.212286536451508
C3,H6,177,6,46.399999999999999,6.75,31.0,64.0,2664.2399999999993,51.616276502669187
C3,H7,91,7,24.899999999999999,7.75,10.0,10.0,1029.6900000000001,32.088783086929304
C3,H8,67,8,25.199999999999999,8.75,21.0,36.0,342.15999999999997,18.497567407634982
C3,H9,70,9,35.700000000000003,18.25,37.0,37.0,413.00999999999988,20.322647465327933
C3,HT,181,10,56.700000000000003,31.0,38.0,70.0,2350.8100000000004,48.485152366471951
C3,HJ,81,11,44.600000000000001,18.25,35.0,74.75,792.83999999999992,28.157414654048051
C3,HQ,120,12,53.399999999999999,19.0,49.5,77.75,1260.6399999999999,35.505492532846233
C3,HK,41,13,17.0,13.0,14.5,16.0,66.0,8.1240384046359608
C3,SA,76,14,41.799999999999997,14.75,36.5,70.75,665.96000000000004,25.806200805232841
C3,S2,68,3,27.800000000000001,5.0,17.5,53.5,705.96000000000004,26.569907790581436
C3,S3,184,31,73.700000000000003,31.0,47.0,82.0,3313.2100000000005,57.560489921473049
