hole1,hole2,max,min,mean,25%,50%,75%,var,stat
CA,C2,190,14,55.430999999999997,16.0,42.0,72.0,2272.9372389999999,47.675331556267125
CA,C3,195,14,59.152000000000001,17.0,42.0,77.0,2583.8348960000003,50.831436100114267
CA,C4,191,14,56.863,18.0,42.0,74.0,2373.8742310000002,48.722420208770423
CA,C5,189,14,56.234999999999999,19.0,33.0,75.0,2407.0637750000005,49.061836237548228
CA,C6,195,14,53.832000000000001,20.0,34.0,76.0,2193.9757760000002,46.83989513224811
CA,C7,228,14,57.32,21.0,42.0,77.0,2249.3696,47.427519437558615
CA,C8,195,14,58.859000000000002,22.0,42.0,78.0,2337.9571190000001,48.352426195590226
CA,C9,195,14,59.856000000000002,23.0,42.0,79.0,2373.9172640000002,48.722861820710001
CA,CT,195,14,58.271999999999998,24.0,42.0,80.0,2293.2040160000001,47.887409785871696
CA,CJ,195,14,57.850999999999999,25.0,39.0,81.0,2290.1787990000003,47.855812593665156
CA,CQ,195,14,61.253,26.0,42.0,82.0,2387.3549910000006,48.860566830522963
CA,CK,195,14,61.066000000000003,27.0,42.0,83.0,2272.2316440000004,47.667930980901616
CA,DA,210,14,89.013000000000005,42.0,79.0,98.0,3079.3168310000001,55.491592435250944
CA,D2,195,14,43.921999999999997,14.0,30.0,70.0,1508.3299159999999,38.837223330202171
CA,D3,194,14,43.395000000000003,17.0,31.0,67.25,1316.8229749999998,36.288055541734387
CA,D4,193,14,44.404000000000003,18.0,32.0,71.0,1322.6607839999999,36.368403649321756
CA,D5,194,14,45.298000000000002,14.0,33.0,72.0,1520.279196,38.990757827977646
CA,D6,194,14,46.505000000000003,14.0,34.0,73.0,1459.5399750000001,38.203926172580744
CA,D7,195,14,48.857999999999997,21.0,35.0,74.0,1763.3998359999996,41.992854582654886
CA,D8,194,14,47.938000000000002,22.0,36.0,75.25,1407.340156,37.51453259738151
CA,D9,234,14,47.905000000000001,14.0,37.0,75.25,1512.6759750000001,38.893135319745056
CA,DT,195,14,48.859000000000002,14.0,38.0,74.25,1578.5731189999999,39.73126123092495
CA,DJ,193,14,49.779000000000003,14.0,39.0,76.0,1619.0721590000003,40.23769574665031
CA,DQ,194,14,51.093000000000004,14.0,40.0,76.0,1723.2923509999998,41.512556546182502
CA,DK,195,14,47.988999999999997,14.0,41.0,75.25,1471.784879,38.363848594738251
CA,HA,210,14,87.875,42.0,78.0,98.0,2993.9133750000001,54.716664509087174
CA,H2,195,14,43.515999999999998,16.0,30.0,67.0,1458.4357439999999,38.189471638136077
CA,H3,191,14,45.259999999999998,14.0,31.0,69.0,1552.5384000000001,39.402263894350035
CA,H4,195,14,45.387,14.0,32.0,72.0,1468.1052310000002,38.315861350098871
CA,H5,195,14,45.969000000000001,17.75,33.0,72.0,1494.5480389999998,38.659384876120313
CA,H6,195,14,48.158000000000001,14.0,34.0,74.0,1599.1870359999998,39.989836658831202
CA,H7,195,14,46.427,14.0,35.0,73.0,1541.230671,39.258510809759457
CA,H8,195,14,46.686,14.0,36.0,73.0,1538.3174040000001,39.22138962352048
CA,H9,194,14,48.881999999999998,23.0,37.0,75.25,1455.992076,38.157464223923476
CA,HT,194,14,48.659999999999997,14.0,38.0,75.0,1471.1723999999999,38.355865262043039
CA,HJ,195,14,48.965000000000003,25.0,39.0,74.25,1461.8057749999998,38.233568692969271
CA,HQ,194,14,49.131999999999998,14.0,40.0,75.0,1454.478576,38.137626774617218
CA,HK,195,14,51.878,14.0,41.0,77.0,1694.9311160000002,41.169541119619005
CA,SA,210,14,87.825999999999993,42.0,77.0,98.0,3083.9237239999993,55.533086750152826
CA,S2,195,14,44.107999999999997,14.0,30.0,69.0,1433.3263359999999,37.859296559761908
CA,S3,192,14,45.490000000000002,14.0,31.0,70.0,1580.1038999999998,39.750520751305885
CA,S4,194,14,46.539000000000001,14.0,32.0,73.0,1533.5044790000002,39.159985686922823
CA,S5,195,14,47.116,14.0,33.0,73.0,1644.8845440000002,40.557176233066329
CA,S6,195,14,46.149000000000001,14.0,34.0,72.0,1620.1147990000002,40.250649671775484
CA,S7,194,14,49.082000000000001,21.0,35.0,74.0,1569.0112760000004,39.610746976041746
CA,S8,195,14,48.802999999999997,14.0,36.0,75.0,1486.570191,38.556065553943647
CA,S9,194,14,45.473999999999997,14.0,37.0,72.0,1484.601324,38.530524574679745
CA,ST,234,14,47.594000000000001,24.0,38.0,74.0,1416.4391640000001,37.635610317889096
CA,SJ,195,14,50.052999999999997,25.0,39.0,76.0,1567.6441910000001,39.593486724460121
CA,SQ,194,14,49.93,14.0,40.0,76.0,1586.7870999999996,39.83449635680109
CA,SK,195,14,51.271000000000001,27.0,41.0,77.0,1668.6175589999996,40.848715512241014
C2,C3,184,3,45.655000000000001,5.0,31.0,66.0,2314.7699750000006,48.112056441187384
C2,C4,226,4,49.112000000000002,6.0,32.0,69.0,2457.1214560000003,49.569360052354924
C2,C5,186,5,51.814999999999998,7.0,33.0,71.0,2594.9867750000003,50.941012700966205
C2,C6,187,6,50.584000000000003,8.0,34.0,71.0,2545.0789440000003,50.448775445990762
C2,C7,189,7,47.017000000000003,9.0,30.0,67.0,2352.4027110000002,48.501574314654988
C2,C8,188,8,51.435000000000002,10.0,36.0,71.0,2422.1397750000006,49.215239255742731
C2,C9,190,9,52.963000000000001,11.0,37.0,71.0,2585.8016310000003,50.850778076643039
C2,CT,192,10,53.276000000000003,12.0,38.0,73.0,2507.5458239999998,50.075401386309423
C2,CJ,193,11,52.866,13.0,39.0,71.0,2296.2660440000004,47.919370237931972
C2,CQ,194,12,52.158000000000001,14.0,30.0,73.0,2332.3210359999998,48.294109744357023
C2,CK,195,13,53.643000000000001,15.0,41.0,72.25,2247.1455510000001,47.404066819208666
C2,DA,194,14,44.271999999999998,14.0,30.0,69.0,1514.4440160000001,38.915858155769868
C2,D2,198,2,77.099999999999994,30.0,67.0,86.0,2651.9180000000001,51.496776598152238
C2,D3,183,3,37.103999999999999,3.0,30.0,61.0,1655.6391840000001,40.689546372502114
C2,D4,183,4,37.453000000000003,4.0,30.0,62.0,1410.6157909999997,37.55816543709237
C2,D5,187,5,38.119999999999997,5.0,30.0,63.0,1566.1615999999997,39.574759632877111
C2,D6,187,6,41.396999999999998,8.0,30.0,66.25,1739.0653909999999,41.702102956565632
C2,D7,189,7,39.494999999999997,7.0,30.0,65.0,1673.0159749999998,40.902517954277577
C2,D8,189,8,42.283999999999999,10.0,30.0,66.0,1742.665344,41.745243369754114
C2,D9,191,9,41.398000000000003,11.0,30.0,67.0,1575.533596,39.692991774367421
C2,DT,191,10,44.715000000000003,12.0,30.0,68.0,1832.883775,42.812191896701577
C2,DJ,192,11,42.420999999999999,13.0,30.0,69.0,1488.3037590000001,38.578540135676469
C2,DQ,193,12,43.863,14.0,30.0,70.0,1536.9282309999999,39.20367624343411
C2,DK,195,13,41.417000000000002,13.0,30.0,68.25,1337.581111,36.572956005770166
C2,HA,234,14,43.905999999999999,14.0,30.0,70.0,1452.185164,38.107547336452917
C2,H2,198,2,75.498999999999995,30.0,66.0,86.0,2687.5579989999997,51.841662772330132
C2,H3,185,3,39.229999999999997,3.0,30.0,63.0,1889.7291,43.471014480915905
C2,H4,186,4,39.521000000000001,4.0,30.0,65.0,1858.2575589999999,43.107511630805135
C2,H5,187,5,37.584000000000003,5.0,30.0,63.0,1518.6169440000001,38.969436023632674
C2,H6,187,6,37.979999999999997,6.0,30.0,64.0,1483.4216000000001,38.515212578927823
