hole1,hole2,max,min,mean,25%,50%,75%,var,stat
CA,C2,234,14,54.680999999999997,16.0,42.0,72.0,2343.2548390000002,48.407177556639262
CA,C3,195,14,55.057400000000001,17.0,42.0,73.0,2303.22210524,47.991896245512116
CA,C4,228,14,56.020400000000002,18.0,42.0,74.0,2350.2847838400003,48.479735806210826
CA,C5,228,14,57.0777,19.0,42.0,75.0,2384.0478627100006,48.826712593722718
CA,C6,195,14,59.131300000000003,20.0,42.0,76.0,2457.3526603099995,49.571692126757178
CA,C7,195,14,58.766199999999998,21.0,42.0,77.0,2389.2729375599997,48.880189622790944
CA,C8,228,14,58.162500000000001,22.0,42.0,78.0,2365.2716937500008,48.634058989045947
CA,C9,232,14,58.183999999999997,23.0,42.0,79.0,2372.152744,48.704750733373025
CA,CT,234,14,60.275599999999997,24.0,42.0,80.0,2367.8538446400003,48.660598482139534
CA,CJ,234,14,60.2453,25.0,42.0,81.0,2403.2351279100003,49.022802122175761
CA,CQ,234,14,60.621899999999997,26.0,42.0,82.0,2351.5635403899996,48.492922580413726
CA,CK,234,14,61.077500000000001,27.0,42.0,83.0,2405.9914937499998,49.050907165413363
CA,DA,210,14,86.718599999999995,42.0,78.0,98.0,2928.5130140400001,54.115737212385824
CA,D2,195,14,43.114400000000003,14.0,30.0,68.0,1398.1849126400002,37.392310875900677
CA,D3,234,14,44.6965,14.0,31.0,71.0,1447.8441877499999,38.05054779829063
CA,D4,228,14,45.503700000000002,14.0,32.0,72.0,1484.4593863099999,38.528682644362497
CA,D5,227,14,45.8735,14.0,33.0,72.0,1516.6878977500003,38.944677399485549
CA,D6,234,14,46.411700000000003,14.0,34.0,73.0,1460.2614031099999,38.213366812020112
CA,D7,195,14,47.224499999999999,14.0,35.0,74.0,1537.0854997499998,39.20568198297282
CA,D8,232,14,48.051900000000003,14.0,36.0,74.0,1535.9266063900004,39.190899535351321
CA,D9,195,14,47.507399999999997,14.0,37.0,74.0,1506.9177452399999,38.819038437859327
CA,DT,195,14,49.645099999999999,14.0,38.0,76.0,1602.92494599,40.036545130542919
CA,DJ,234,14,49.6235,14.0,39.0,76.0,1581.8831477499998,39.772894636297217
CA,DQ,195,14,49.836599999999997,14.0,40.0,76.0,1612.4651004399998,40.155511457831039
CA,DK,195,14,50.348399999999998,14.0,41.0,76.0,1595.4770174400001,39.943422705622012
CA,HA,234,14,86.713200000000001,42.0,78.0,98.0,2933.2319457599997,54.159320026750706
CA,H2,195,14,44.177300000000002,14.0,30.0,70.0,1505.4478647100002,38.800101349223304
CA,H3,195,14,44.460099999999997,14.0,31.0,70.0,1447.4618079900001,38.045522837648058
CA,H4,234,14,45.385800000000003,14.0,32.0,72.0,1470.79395836,38.35093164917901
CA,H5,229,14,45.933300000000003,14.0,33.0,72.0,1497.27885111,38.694687634221836
CA,H6,195,14,45.657400000000003,14.0,34.0,73.0,1367.96582524,36.986022025084019
CA,H7,195,14,47.566200000000002,14.0,35.0,74.0,1511.9672175599999,38.884022651469586
CA,H8,234,14,47.659700000000001,14.0,36.0,74.0,1511.3602959100003,38.876217613214386
CA,H9,233,14,48.572200000000002,14.0,37.0,75.0,1562.2769871599999,39.525649737354094
CA,HT,233,14,49.645400000000002,14.0,38.0,76.0,1596.2872588399998,39.953563781470109
CA,HJ,234,14,49.951599999999999,14.0,39.0,76.0,1596.7046574400001,39.958786986594077
CA,HQ,195,14,49.862699999999997,14.0,40.0,76.0,1572.4338487100001,39.653926018869811
CA,HK,195,14,50.038899999999998,14.0,41.0,77.0,1534.0983867899999,39.167568047939866
CA,SA,210,14,85.7119,42.0,77.0,98.0,2832.1334983900001,53.217793062001363
CA,S2,195,14,43.6526,14.0,30.0,69.0,1430.8009132399998,37.825929112713141
CA,S3,227,14,44.085000000000001,14.0,31.0,70.0,1407.4425749999998,37.515897630204712
CA,S4,228,14,45.048400000000001,14.0,32.0,71.0,1472.7884574399995,38.376926107232713
CA,S5,195,14,46.020600000000002,14.0,33.0,72.0,1501.7069756400001,38.751864156966697
CA,S6,230,14,47.320900000000002,14.0,34.0,73.0,1580.1515231899998,39.751119772781244
CA,S7,234,14,47.408900000000003,14.0,35.0,74.0,1546.9407007899999,39.33116704078332
CA,S8,228,14,47.660400000000003,14.0,36.0,74.0,1533.6806718399998,39.162235276347545
CA,S9,234,14,47.487000000000002,14.0,37.0,73.0,1495.317231,38.669331918201017
CA,ST,234,14,49.9514,14.0,38.0,76.0,1602.6194380399997,40.032729585178174
CA,SJ,232,14,49.701000000000001,14.0,39.0,76.0,1632.2309989999999,40.400878690939379
CA,SQ,195,14,50.223399999999998,14.0,40.0,76.0,1592.70149244,39.908664378052045
CA,SK,195,14,49.708199999999998,14.0,41.0,76.0,1532.9352527599999,39.152717054631083
C2,C3,226,3,48.420699999999997,5.0,31.0,68.0,2536.8725115100005,50.367375467756908
C2,C4,227,4,49.5959,6.0,32.0,69.0,2567.4874031899999,50.670379939270241
C2,C5,226,5,50.649999999999999,7.0,33.0,70.0,2571.9063000000001,50.713965532188467
C2,C6,229,6,51.142600000000002,8.0,34.0,71.0,2543.5006652400002,50.433130630965202
C2,C7,228,7,50.283900000000003,9.0,35.0,69.0,2455.9381007900001,49.557422257316816
C2,C8,190,8,51.604100000000003,10.0,36.0,70.0,2445.6901631899996,49.45391959379964
C2,C9,191,9,52.597200000000001,11.0,37.0,71.0,2439.8707521600004,49.395047850568993
C2,CT,230,10,53.248199999999997,12.0,38.0,71.0,2422.2599967600004,49.216460628127258
C2,CJ,233,11,53.945399999999999,13.0,39.0,72.0,2446.1494188400002,49.45856264429851
C2,CQ,234,12,53.910499999999999,14.0,40.0,72.0,2432.6842897500001,49.322249439274358
C2,CK,226,13,55.293100000000003,15.0,41.0,72.0,2429.4467923900002,49.289418665571624
C2,DA,195,14,43.853299999999997,14.0,30.0,69.0,1488.4631791099998,38.580606256382232
C2,D2,198,2,76.702200000000005,30.0,67.0,86.0,2725.4117151599999,52.205475911632107
C2,D3,185,3,37.105699999999999,3.0,30.0,62.0,1608.4237275099999,40.105158365352452
C2,D4,227,4,37.971699999999998,4.0,30.0,62.0,1638.12629911,40.473772978436294
C2,D5,227,5,39.138599999999997,5.0,30.0,63.0,1630.7135900399999,40.382094918911768
C2,D6,229,6,39.864600000000003,6.0,30.0,64.0,1593.3936668400002,39.917335417585178
C2,D7,231,7,38.896299999999997,7.0,30.0,65.0,1509.9297463099999,38.857814481903119
C2,D8,230,8,41.146099999999997,8.0,30.0,66.0,1573.3555547899998,39.665546193012389
C2,D9,229,9,41.717700000000001,9.0,30.0,67.0,1578.1406067099999,39.725817885979389
C2,DT,192,10,41.589700000000001,10.0,30.0,68.0,1550.2621539100001,39.373368587282442
C2,DJ,233,11,42.275199999999998,11.0,30.0,69.0,1498.7298649600002,38.713432616599633
C2,DQ,194,12,42.659999999999997,12.0,30.0,69.0,1474.8951999999999,38.404364335320018
C2,DK,233,13,43.247,13.0,30.0,69.0,1449.0183909999998,38.065974189556741
C2,HA,195,14,42.981299999999997,14.0,30.0,68.0,1416.42115031,37.635371000031341
C2,H2,198,2,76.820899999999995,30.0,67.0,86.0,2752.3062231899999,52.462426775645824
C2,H3,185,3,37.328899999999997,3.0,30.0,63.0,1605.6003247899998,40.06994290974221
C2,H4,228,4,38.675600000000003,4.0,30.0,63.0,1719.1323646399997,41.462421114064234
C2,H5,187,5,39.444699999999997,5.0,30.0,64.0,1615.2161419099996,40.189751702517391
C2,H6,229,6,40.7256,6.0,30.0,65.0,1673.3851046400002,40.907030014900862
C2,H7,231,7,39.393999999999998,7.0,30.0,65.0,1576.0507639999998,39.699505840753233
C2,H8,230,8,40.704300000000003,10.0,30.0,66.0,1533.0814615100001,39.154584169800607
C2,H9,191,9,41.033799999999999,9.0,30.0,67.0,1526.88745756,39.075407324300535
C2,HT,231,10,42.381599999999999,10.0,30.0,68.0,1559.6429814400001,39.492315473266444
C2,HJ,233,11,41.9011,11.0,30.0,69.0,1458.4313187900002,38.189413700527012
C2,HQ,226,12,43.128300000000003,12.0,30.0,69.0,1515.86763911,38.934144900202959
C2,HK,234,13,43.377499999999998,13.0,30.0,69.0,1490.3833937500001,38.605483985439172
C2,SA,195,14,43.3474,14.0,30.0,69.0,1415.4079132400002,37.621907357814813
C2,S2,198,2,76.171899999999994,30.0,67.0,86.0,2693.9277503899998,51.903061088822113
C2,S3,227,3,37.9328,3.0,30.0,63.0,1666.36748416,40.821164659524356
C2,S4,186,4,38.323700000000002,4.0,30.0,63.0,1637.92871831,40.471332055048549
C2,S5,187,5,39.463500000000003,5.0,30.0,64.0,1659.2386677499999,40.733753420842525
C2,S6,230,6,40.257199999999997,6.0,30.0,64.0,1633.4136481599999,40.415512469347703
C2,S7,227,7,40.109999999999999,9.0,30.0,65.0,1521.3741,39.004795858970986
C2,S8,231,8,41.275300000000001,8.0,30.0,66.0,1615.4219099099998,40.192311577091452
